COLE_COD_DEPTO_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_COD_DANE_ESTABLECIMIENTO,PUNT_GLOBAL,PERCENTIL_GLOBAL,calendario_a,calendario_b,cole_publico,cole_privado,cole_rural,cole_urbano,cole_nbilingue,cole_bilingue,cole_academico,COLE_CARACTER_NO APLICA,COLE_CARACTER_TÉCNICO,COLE_CARACTER_TÉCNICO/ACADÉMICO,etnia_si,internet_si,computador_si,ID
5.0,5001.0,1,254.0,56.064516129032256,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,28,17,31
5.0,5001.0,1,220.7058823529412,35.720588235294116,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,49,26,68
5.0,5001.0,1,270.1629116117851,64.66897746967071,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,518,454,577
5.0,5001.0,1,245.1304347826087,50.41304347826087,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,39,26,46
5.0,5001.0,1,236.7741935483871,44.693548387096776,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,53,38,62
5.0,5001.0,1,217.94331983805668,33.22672064777328,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,179,125,247
5.0,5001.0,1,247.77551020408163,51.46938775510204,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,42,39,49
5.0,5001.0,1,232.1549295774648,42.04225352112676,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,64,50,71
5.0,5001.0,1,246.62962962962962,51.50617283950617,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,74,59,81
5.0,5001.0,1,274.734693877551,65.6938775510204,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,98,94,98
5.0,5001.0,1,241.88888888888889,49.55555555555556,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,36,24,36
5.0,5001.0,1,265.448,62.696,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7,120,103,125
5.0,5001.0,1,242.90769230769232,49.13846153846154,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,58,52,65
5.0,5001.0,1,255.2391304347826,55.91304347826087,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,42,34,46
5.0,5001.0,1,286.98571428571427,75.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,67,66,70
5.0,5001.0,1,241.32142857142858,46.535714285714285,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,22,15,28
5.0,5001.0,1,248.7570093457944,52.54205607476636,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5,98,73,107
5.0,5001.0,1,267.06060606060606,63.41414141414141,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,186,170,198
5.0,5001.0,1,238.37234042553192,45.898936170212764,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,170,129,188
5.0,5001.0,1,236.90797546012269,45.09815950920245,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,139,112,163
5.0,5001.0,1,255.21818181818182,56.127272727272725,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7,41,32,55
5.0,5001.0,1,231.94610778443115,42.131736526946106,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,141,118,167
5.0,5001.0,1,232.0,41.14782608695652,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,104,70,115
