code,PUNT_GLOBAL,PERCENTIL_GLOBAL,etnia_si,internet_si,computador_si,ID,etnia_perc,int_perc,comp_perc,cobertura_neta_secundaria,departamento,desercion_secundaria,Código Departamento (DIVIPOLA),PIB
5,236.4119936096511,43.808281943562704,751,45291,36343,55928,1.4335304933690642,62.87069747457394,45.50290516131694,82.79832429,Antioquia,5.899025389999999,5,26015246.429433025
8,223.01936612769418,34.99166534407361,697,16970,12587,23359,14.924554884276354,49.69110263281803,35.048075459380904,81.06779221,Atlántico,1.68100822,8,18876919.19318344
11,275.04950846294355,64.1896551724138,273,59141,53392,62950,0.43367752184273234,93.94916600476569,84.81652104845115,89.19412464999999,"Bogotá, D.C.",1.35063278,11,38072721.005274266
13,211.8184780991752,28.91925536062378,1229,11315,7721,19560,5.324836458921639,40.07827857185694,25.056533765807682,83.48070401999999,Bolívar,4.27391478,13,18841683.81073717
15,249.18153029576524,51.92390719935802,29,9163,7777,13068,0.05756961108244982,48.195100032012974,41.62044820800797,91.10321185,Boyacá,3.62692283,15,24609560.31903534
17,236.52597238408867,43.70077909487632,501,6467,5076,8616,7.1794601479357745,61.84749947680448,45.2644646611393,76.80187236,Caldas,3.91874073,17,19219638.31220485
18,223.3842653447169,36.12363782051282,30,1842,1290,2744,3.5205325834930643,56.53803738604501,35.598543242040805,68.01322293999999,Caquetá,10.65741544,18,11257483.896006208
19,220.37831746395634,33.88723161307127,2830,5697,4411,9116,41.82271148260801,47.25632955923878,34.24185829991557,71.62569245,Cauca,4.23769535,19,14033685.709036456
20,227.04733248114607,38.272,1055,6224,4318,9578,10.548932974628364,55.68441726017018,35.62784957597053,72.52791939,Cesar,2.84693843,20,17419940.827186935
23,223.20086186404717,35.752626576428064,1800,7272,4969,14552,22.460742146120545,38.739698051823844,25.473258266112374,80.5561165,Córdoba,3.5285679,23,11154601.177887494
